Prognoseraum,Bezeichnung,Anteil,year
1104,Lichtenberg Mitte,20.5,2011
1105,Lichtenberg Süd,5,2011
1210,Reinickendorf-Ost,22.6,2011
1221,Tegel,18.2,2011
1222,Heiligensee-Konradshöhe,7.4,2011
1223,Frohnau-Hermsdorf,2.5,2011
1230,Waidmannslust,19.3,2011
0101,Zentrum,9.706959706959706,2007
0102,Moabit,20.502092050209207,2007
0103,Gesundbrunnen,33.70429252782194,2007
0104,Wedding,29.055007052186177,2007
0201,Kreuzberg Nord,25.991189427312776,2007
0202,Kreuzberg Süd,12.6232741617357,2007
0203,Kreuzberg Ost,16.626506024096386,2007
0204,Friedrichshain West,15.98360655737705,2007
0205,Friedrichshain Ost,9.322033898305085,2007
0301,Buch,19,2007
0302,Nördliches Pankow,11.764705882352942,2007
0303,Nördliches Weißensee,14.930555555555555,2007
0304,Südliches Pankow,8.258258258258259,2007
0305,Südliches Weißensee,15.19434628975265,2007
0306,Nördlicher Prenzl. Berg,6.642728904847397,2007
0307,Südlicher Prenzl. Berg,4.07673860911271,2007
0401,Charlottenburg-Nord,0,2007
0402,Westend,3.4782608695652173,2007
0403,Charlottenburg,12.07865168539326,2007
0404,Schmargendorf,5.6105610561056105,2007
0405,Wilmersdorf,4.609929078014185,2007
0406,Forst Grunewald,0,2007
0501,SPA 1,20.495185694635488,2007
0502,SPA 2,22.149837133550488,2007
0503,SPA 3,22.448979591836736,2007
0504,SPA 4,3.5211267605633805,2007
0601,Region A,8.450704225352112,2007
0602,Region B,10.054844606946984,2007
0603,Region C,4.11663807890223,2007
0604,Region D,2.755267423014587,2007
0701,Schöneberg-Nord,13.959390862944163,2007
0702,Schöneberg-Süd,8.201892744479496,2007
0703,Friedenau,9.166666666666666,2007
0704,Tempelhof,12.529550827423169,2007
0705,Mariendorf,15.92356687898089,2007
0706,Marienfelde,19.801980198019802,2007
0707,Lichtenrade,11.89873417721519,2007
0801,Neukölln,26.12681436210848,2007
0802,Britz-Buckow,14.454976303317535,2007
0803,Gropiusstadt,19.444444444444443,2007
0804,Buckow Nord / Rudow,13.903743315508022,2007
0901,Treptow-Köpenick 1,11.078717201166182,2007
0902,Treptow-Köpenick 2,17.694369973190348,2007
0903,Treptow-Köpenick 3,19.791666666666668,2007
0904,Treptow-Köpenick 4,11.15702479338843,2007
0905,Treptow-Köpenick 5,7.570977917981073,2007
1001,Marzahn,26.82215743440233,2007
1002,Hellersdorf,30.813953488372093,2007
1003,Biesdorf,11.214953271028037,2007
1004,Kaulsdorf / Mahlsdorf,10.367892976588628,2007
1101,Hohenschönhausen Nord,29.743589743589745,2007
1102,Hohenschönhausen Süd,14.393939393939394,2007
1103,Lichtenberg Nord,20.930232558139537,2007
1104,Lichtenberg Mitte,22.727272727272727,2007
1105,Lichtenberg Süd,7.853403141361256,2007
1210,Reinickendorf-Ost,30.397727272727273,2007
1221,Tegel,25.889967637540455,2007
1222,Heiligensee-Konradshöhe,6.565656565656566,2007
1223,Frohnau-Hermsdorf,2.6666666666666665,2007
1230,Waidmannslust,22.031473533619458,2007
0101,Zentrum,5.414012738853503,2010
0102,Moabit,15.458015267175572,2010
0103,Gesundbrunnen,27.635327635327634,2010
0104,Wedding,25.29960053262317,2010
0201,Kreuzberg Nord,19.574468085106382,2010
0202,Kreuzberg Süd,10.695187165775401,2010
0203,Kreuzberg Ost,11.790393013100436,2010
0204,Friedrichshain West,4.8,2010
0205,Friedrichshain Ost,5.482041587901701,2010
0301,Buch,17.8343949044586,2010
0302,Nördliches Pankow,9.433962264150944,2010
0303,Nördliches Weißensee,10.96345514950166,2010
0304,Südliches Pankow,5.957446808510638,2010
0305,Südliches Weißensee,9.090909090909092,2010
0306,Nördlicher Prenzl. Berg,5.646359583952452,2010
0307,Südlicher Prenzl. Berg,1.896551724137931,2010
0401,Charlottenburg-Nord,8.695652173913043,2010
0402,Westend,5.857740585774058,2010
0403,Charlottenburg,10.654685494223363,2010
0404,Schmargendorf,5.147058823529412,2010
0405,Wilmersdorf,7.339449541284404,2010
0406,Forst Grunewald,0,2010
0501,SPA 1,15.83710407239819,2010
0502,SPA 2,18.464052287581698,2010
0503,SPA 3,16.666666666666668,2010
0504,SPA 4,5.2631578947368425,2010
0601,Region A,6.048387096774194,2010
0602,Region B,7.592592592592593,2010
0603,Region C,1.3311148086522462,2010
0604,Region D,1.4331210191082802,2010
0701,Schöneberg-Nord,14.012738853503185,2010
0702,Schöneberg-Süd,8.724832214765101,2010
0703,Friedenau,7.6923076923076925,2010
0704,Tempelhof,14.772727272727273,2010
0705,Mariendorf,15.686274509803921,2010
0706,Marienfelde,13.963963963963964,2010
0707,Lichtenrade,14.615384615384615,2010
0801,Neukölln,24.500768049155145,2010
0802,Britz-Buckow,18.89952153110048,2010
0803,Gropiusstadt,27.491408934707902,2010
0804,Buckow Nord / Rudow,14.516129032258064,2010
0901,Treptow-Köpenick 1,8.899297423887587,2010
0902,Treptow-Köpenick 2,13.164556962025317,2010
0903,Treptow-Köpenick 3,13.68421052631579,2010
0904,Treptow-Köpenick 4,7.8431372549019605,2010
0905,Treptow-Köpenick 5,5.7057057057057055,2010
1001,Marzahn,27.112232030264817,2010
1002,Hellersdorf,27.160493827160494,2010
1003,Biesdorf,11.11111111111111,2010
1004,Kaulsdorf / Mahlsdorf,10.679611650485437,2010
1101,Hohenschönhausen Nord,26.046511627906977,2010
1102,Hohenschönhausen Süd,14.134275618374557,2010
1103,Lichtenberg Nord,17.69041769041769,2010
1104,Lichtenberg Mitte,19.597989949748744,2010
1105,Lichtenberg Süd,3.9130434782608696,2010
1210,Reinickendorf-Ost,22.865013774104682,2010
1221,Tegel,21.661721068249257,2010
1222,Heiligensee-Konradshöhe,2.5510204081632653,2010
1223,Frohnau-Hermsdorf,1.838235294117647,2010
1230,Waidmannslust,16.64167916041979,2010
