Prognoseraum,Bezeichnung,Anteil,year
0305,Südliches Weißensee,96.2,2018
0306,Nördl. Prenzl. Berg,96.3,2018
0307,Südl. Prenzl. Berg,95.3,2018
0401,Charlottenburg-Nord,94.4,2018
0402,Westend,96.5,2018
0403,Charlottenburg,94.9,2018
0404,Schmargendorf,94.8,2018
0405,Wilmersdorf,94.7,2018
0406,Forst Grunewald,0,2018
0501,SPA 1,91.5,2018
0502,SPA 2,92.3,2018
0503,SPA 3,92.7,2018
0504,SPA 4,96.3,2018
0601,Region A,97.3,2018
0602,Region B,98.1,2018
0603,Region C,96.9,2018
0604,Region D,97.7,2018
0701,Schöneberg-Nord,93.6,2018
0702,Schöneberg-Süd,97,2018
0703,Friedenau,97.3,2018
0704,Tempelhof,96.4,2018
0705,Mariendorf,96.3,2018
0706,Marienfelde,97.9,2018
0707,Lichtenrade,97.6,2018
0801,Neukölln,88.3,2018
0802,Britz-Buckow,92.8,2018
0803,Gropiusstadt,90.7,2018
0804,Buckow Nord / Rudow,93.6,2018
0901,Treptow-Köpenick 1,94.7,2018
0902,Treptow-Köpenick 2,89.9,2018
0903,Treptow-Köpenick 3,95,2018
0904,Treptow-Köpenick 4,95.4,2018
0905,Treptow-Köpenick 5,95.2,2018
1001,Marzahn,94.2,2018
1002,Hellersdorf,91.9,2018
1003,Biesdorf,95.6,2018
1004,Kaulsdorf / Mahlsdorf,97.9,2018
1101,Hohenschönhausen Nord,92.5,2018
1102,Hohenschönhausen Süd,97.7,2018
1103,Lichtenberg Nord,96.1,2018
1104,Lichtenberg Mitte,92.7,2018
1105,Lichtenberg Süd,96.8,2018
1210,Reinickendorf-Ost,93.6,2018
1221,Tegel,93.6,2018
1222,Heiligensee-Konradshöhe,98.0,2018
1223,Frohnau-Hermsdorf,97.9,2018
1230,Waidmannslust,89.9,2018
0101,Zentrum,89.6,2011
0102,Moabit,77,2011
0103,Gesundbrunnen,74.2,2011
0104,Wedding,81.6,2011
0201,Kreuzberg Nord,76.1,2011
0202,Kreuzberg Süd,85.3,2011
0203,Kreuzberg Ost,86.6,2011
0204,Friedrichshain West,88,2011
0205,Friedrichshain Ost,87,2011
0301,Buch,85.8,2011
0302,Nördliches Pankow,91.5,2011
0303,Nördliches Weißensee,93.1,2011
0304,Südliches Pankow,91.3,2011
0305,Südliches Weißensee,87.9,2011
0306,Nördlicher Prenzl. Berg,89,2011
0307,Südlicher Prenzl. Berg,90.5,2011
0401,Charlottenburg-Nord,87.5,2011
0402,Westend,90.4,2011
0403,Charlottenburg,88.6,2011
0404,Schmargendorf,90.6,2011
0405,Wilmersdorf,87.7,2011
0406,Forst Grunewald,0,2011
0501,SPA 1,85.6,2011
0502,SPA 2,87.9,2011
0503,SPA 3,85.2,2011
0504,SPA 4,95.9,2011
0601,Region A,91.5,2011
0602,Region B,89.1,2011
0603,Region C,92.9,2011
0604,Region D,92.2,2011
0701,Schöneberg-Nord,82.2,2011
0702,Schöneberg-Süd,84.4,2011
0703,Friedenau,88.3,2011
0704,Tempelhof,87.1,2011
0705,Mariendorf,85.4,2011
0706,Marienfelde,90.2,2011
0707,Lichtenrade,87.9,2011
0801,Neukölln,78.5,2011
0802,Britz-Buckow,83.1,2011
0803,Gropiusstadt,83.5,2011
0804,Buckow Nord / Rudow,89,2011
0901,Treptow-Köpenick 1,88.7,2011
0902,Treptow-Köpenick 2,80.5,2011
0903,Treptow-Köpenick 3,91.5,2011
0904,Treptow-Köpenick 4,88.7,2011
0905,Treptow-Köpenick 5,94.8,2011
1001,Marzahn,83.5,2011
1002,Hellersdorf,86.5,2011
1003,Biesdorf,92.9,2011
1004,Kaulsdorf / Mahlsdorf,90.5,2011
1101,Hohenschönhausen Nord,87,2011
1102,Hohenschönhausen Süd,88.5,2011
1103,Lichtenberg Nord,84.9,2011
1104,Lichtenberg Mitte,84.6,2011
1105,Lichtenberg Süd,91.6,2011
1210,Reinickendorf-Ost,81.7,2011
1221,Tegel,86.1,2011
1222,Heiligensee-Konradshöhe,89,2011
1223,Frohnau-Hermsdorf,91.5,2011
1230,Waidmannslust,83.9,2011
0101,Zentrum,92.8,2013
0102,Moabit,92.3,2013
0103,Gesundbrunnen,85,2013
0104,Wedding,86.7,2013
0201,Kreuzberg Nord,87.9,2013
0202,Kreuzberg Süd,92.2,2013
0203,Kreuzberg Ost,88,2013
0204,Friedrichshain West,91.5,2013
0205,Friedrichshain Ost,93.3,2013
0301,Buch,93.5,2013
0302,Nördliches Pankow,95.4,2013
0303,Nördliches Weißensee,94.3,2013
0304,Südliches Pankow,95,2013
0305,Südliches Weißensee,92.5,2013
0306,Nördlicher Prenzl. Berg,95.3,2013
0307,Südlicher Prenzl. Berg,94.3,2013
0401,Charlottenburg-Nord,97.8,2013
0402,Westend,95.7,2013
0403,Charlottenburg,95.5,2013
0404,Schmargendorf,95.2,2013
0405,Wilmersdorf,96.4,2013
0406,Forst Grunewald,0,2013
0501,SPA 1,90.8,2013
0502,SPA 2,92.5,2013
0503,SPA 3,92.5,2013
0504,SPA 4,98.1,2013
0601,Region A,97.8,2013
0602,Region B,97.3,2013
0603,Region C,96.6,2013
0604,Region D,97.4,2013
0701,Schöneberg-Nord,93.8,2013
0702,Schöneberg-Süd,93.4,2013
0703,Friedenau,95,2013
0704,Tempelhof,94.7,2013
0705,Mariendorf,97.5,2013
0706,Marienfelde,98.1,2013
0707,Lichtenrade,97.4,2013
0801,Neukölln,86.9,2013
0802,Britz-Buckow,92.5,2013
0803,Gropiusstadt,92.5,2013
0804,Buckow Nord / Rudow,92.8,2013
0901,Treptow-Köpenick 1,94.5,2013
0902,Treptow-Köpenick 2,89.9,2013
0903,Treptow-Köpenick 3,92.5,2013
0904,Treptow-Köpenick 4,97.1,2013
0905,Treptow-Köpenick 5,92.9,2013
1001,Marzahn,95.5,2013
1002,Hellersdorf,94.9,2013
1003,Biesdorf,97.2,2013
1004,Kaulsdorf / Mahlsdorf,96.6,2013
1101,Hohenschönhausen Nord,90.6,2013
1102,Hohenschönhausen Süd,92.2,2013
1103,Lichtenberg Nord,92.7,2013
1104,Lichtenberg Mitte,93.6,2013
1105,Lichtenberg Süd,95,2013
1210,Reinickendorf-Ost,88.4,2013
1221,Tegel,91.2,2013
1222,Heiligensee-Konradshöhe,96.7,2013
1223,Frohnau-Hermsdorf,98.2,2013
1230,Waidmannslust,91.8,2013
0101,Zentrum,94.3,2016
0102,Moabit,94.9,2016
0103,Gesundbrunnen,83.1,2016
0104,Wedding,86.7,2016
0201,Kreuzberg Nord,87.5,2016
0202,Kreuzberg Süd,93.6,2016
0203,Kreuzberg Ost,91.1,2016
0204,Friedrichshain West,90,2016
0205,Friedrichshain Ost,94.5,2016
0301,Buch,92.6,2016
0302,Nördliches Pankow,94.5,2016
0303,Nördliches Weißensee,97.1,2016
0304,Südliches Pankow,95.4,2016
0305,Südliches Weißensee,95.2,2016
0306,Nördl. Prenzl. Berg,94,2016
0307,Südl. Prenzl. Berg,95.2,2016
0401,Charlottenburg-Nord,94.6,2016
0402,Westend,98.5,2016
0403,Charlottenburg,94.8,2016
0404,Schmargendorf,96.7,2016
0405,Wilmersdorf,94.5,2016
0406,Forst Grunewald,0,2016
0501,SPA 1,88.8,2016
0502,SPA 2,92.4,2016
0503,SPA 3,94,2016
0504,SPA 4,98.0,2016
0601,Region A,96.1,2016
0602,Region B,94.6,2016
0603,Region C,98.7,2016
