Prognoseraum,Bezeichnung,Anteil,year
1003,Biesdorf,16.3,2018
1004,Kaulsdorf / Mahlsdorf,13,2018
1101,Hohenschönhausen Nord,38.9,2018
1102,Hohenschönhausen Süd,29.9,2018
1103,Lichtenberg Nord,33.4,2018
1104,Lichtenberg Mitte,29.7,2018
1105,Lichtenberg Süd,5.8,2018
1210,Reinickendorf-Ost,48.7,2018
1221,Tegel,41.5,2018
1222,Heiligensee-Konradshöhe,6.9,2018
1223,Frohnau-Hermsdorf,11.1,2018
1230,Waidmannslust,50.5,2018
0101,Zentrum,20.7,2012
0102,Moabit,37.6,2012
0103,Gesundbrunnen,59.4,2012
0104,Wedding,53.6,2012
0201,Kreuzberg Nord,38.3,2012
0202,Kreuzberg Süd,15.9,2012
0203,Kreuzberg Ost,28.5,2012
0204,Friedrichshain West,11.6,2012
0205,Friedrichshain Ost,10.7,2012
0301,Buch,24.5,2012
0302,Nördliches Pankow,11.4,2012
0303,Nördliches Weißensee,12.5,2012
0304,Südliches Pankow,9.6,2012
0305,Südliches Weißensee,13.3,2012
0306,Nördlicher Prenzl. Berg,7.2,2012
0307,Südlicher Prenzl. Berg,7.1,2012
0401,Charlottenburg-Nord,22.9,2012
0402,Westend,8.7,2012
0403,Charlottenburg,18.9,2012
0404,Schmargendorf,16,2012
0405,Wilmersdorf,22.9,2012
0406,Forst Grunewald,0,2012
0501,SPA 1,32.3,2012
0502,SPA 2,25.1,2012
0503,SPA 3,27.1,2012
0504,SPA 4,11.1,2012
0601,Region A,13.6,2012
0602,Region B,13.5,2012
0603,Region C,8.9,2012
0604,Region D,4.1,2012
0701,Schöneberg-Nord,30.8,2012
0702,Schöneberg-Süd,21.3,2012
0703,Friedenau,9.7,2012
0704,Tempelhof,21,2012
0705,Mariendorf,22,2012
0706,Marienfelde,26.4,2012
0707,Lichtenrade,21.5,2012
0801,Neukölln,49.5,2012
0802,Britz-Buckow,26.5,2012
0803,Gropiusstadt,49.4,2012
0804,Buckow Nord / Rudow,22.5,2012
0901,Treptow-Köpenick 1,5.1,2012
0902,Treptow-Köpenick 2,9.7,2012
0903,Treptow-Köpenick 3,11.3,2012
0904,Treptow-Köpenick 4,5,2012
0905,Treptow-Köpenick 5,5.8,2012
1001,Marzahn,30.3,2012
1002,Hellersdorf,31.2,2012
1003,Biesdorf,6.2,2012
1004,Kaulsdorf / Mahlsdorf,12.5,2012
1101,Hohenschönhausen Nord,26,2012
1102,Hohenschönhausen Süd,19.3,2012
1103,Lichtenberg Nord,23.9,2012
1104,Lichtenberg Mitte,24.8,2012
1105,Lichtenberg Süd,5.9,2012
1210,Reinickendorf-Ost,45.1,2012
1221,Tegel,27.9,2012
1222,Heiligensee-Konradshöhe,7.3,2012
1223,Frohnau-Hermsdorf,6.6,2012
1230,Waidmannslust,35.8,2012
0101,Zentrum,18.1,2010
0102,Moabit,38.4,2010
0103,Gesundbrunnen,53.7,2010
0104,Wedding,59.5,2010
0201,Kreuzberg Nord,52,2010
0202,Kreuzberg Süd,22.3,2010
0203,Kreuzberg Ost,36.8,2010
0204,Friedrichshain West,6.1,2010
0205,Friedrichshain Ost,12.8,2010
0301,Buch,29.1,2010
0302,Nördliches Pankow,9.1,2010
0303,Nördliches Weißensee,14.1,2010
0304,Südliches Pankow,10.2,2010
0305,Südliches Weißensee,15.7,2010
0306,Nördlicher Prenzl. Berg,9.7,2010
0307,Südlicher Prenzl. Berg,9.6,2010
0401,Charlottenburg-Nord,17.9,2010
0402,Westend,8.5,2010
0403,Charlottenburg,17.7,2010
0404,Schmargendorf,13,2010
0405,Wilmersdorf,22.4,2010
0406,Forst Grunewald,0,2010
0501,SPA 1,25.2,2010
0502,SPA 2,23.1,2010
0503,SPA 3,24.2,2010
0504,SPA 4,9.7,2010
0601,Region A,10.5,2010
0602,Region B,7.6,2010
0603,Region C,8.3,2010
0604,Region D,7.5,2010
0701,Schöneberg-Nord,28.4,2010
0702,Schöneberg-Süd,20.6,2010
0703,Friedenau,12.7,2010
0704,Tempelhof,18.5,2010
0705,Mariendorf,21.9,2010
0706,Marienfelde,18.7,2010
0707,Lichtenrade,10.4,2010
0801,Neukölln,44.8,2010
0802,Britz-Buckow,25.3,2010
0803,Gropiusstadt,41,2010
0804,Buckow Nord / Rudow,20.4,2010
0901,Treptow-Köpenick 1,3.6,2010
0902,Treptow-Köpenick 2,9.5,2010
0903,Treptow-Köpenick 3,5.5,2010
0904,Treptow-Köpenick 4,4.3,2010
0905,Treptow-Köpenick 5,1.8,2010
1001,Marzahn,17.2,2010
1002,Hellersdorf,17.7,2010
1003,Biesdorf,3.8,2010
1004,Kaulsdorf / Mahlsdorf,4,2010
1101,Hohenschönhausen Nord,22.3,2010
1102,Hohenschönhausen Süd,17.2,2010
1103,Lichtenberg Nord,14.8,2010
1104,Lichtenberg Mitte,20,2010
1105,Lichtenberg Süd,3.8,2010
1210,Reinickendorf-Ost,35.6,2010
1221,Tegel,27.8,2010
1222,Heiligensee-Konradshöhe,5.4,2010
1223,Frohnau-Hermsdorf,7.5,2010
1230,Waidmannslust,34.5,2010
0101,Zentrum,20.7,2016
0102,Moabit,35.7,2016
0103,Gesundbrunnen,54,2016
0104,Wedding,43.7,2016
0201,Kreuzberg Nord,55,2016
0202,Kreuzberg Süd,17.8,2016
0203,Kreuzberg Ost,33.9,2016
0204,Friedrichshain West,22.1,2016
0205,Friedrichshain Ost,12.3,2016
0301,Buch,17.2,2016
0302,Nördliches Pankow,8.7,2016
0303,Nördliches Weißensee,9.8,2016
0304,Südliches Pankow,9.6,2016
0305,Südliches Weißensee,12.2,2016
0306,Nördl. Prenzl. Berg,9.5,2016
0307,Südl. Prenzl. Berg,9.9,2016
0401,Charlottenburg-Nord,44.6,2016
0402,Westend,20.9,2016
0403,Charlottenburg,27.6,2016
0404,Schmargendorf,20.4,2016
0405,Wilmersdorf,31.2,2016
0406,Forst Grunewald,0,2016
0501,SPA 1,40.3,2016
0502,SPA 2,34.7,2016
0503,SPA 3,26.2,2016
0504,SPA 4,13.5,2016
0601,Region A,19.6,2016
0602,Region B,27.4,2016
0603,Region C,16,2016
0604,Region D,13.6,2016
0701,Schöneberg-Nord,41,2016
0702,Schöneberg-Süd,17.9,2016
0703,Friedenau,18.6,2016
0704,Tempelhof,34.9,2016
0705,Mariendorf,25.8,2016
0706,Marienfelde,35,2016
0707,Lichtenrade,21.5,2016
0801,Neukölln,48.6,2016
0802,Britz-Buckow,35,2016
0803,Gropiusstadt,45.1,2016
0804,Buckow Nord / Rudow,23.5,2016
0901,Treptow-Köpenick 1,8.8,2016
0902,Treptow-Köpenick 2,25.4,2016
0903,Treptow-Köpenick 3,13.1,2016
