Prognoseraum,Bezeichnung,Anteil,year
0802,Britz-Buckow,86.9,2017
0803,Gropiusstadt,86.5,2017
0804,Buckow Nord / Rudow,93.1,2017
0901,Treptow-Köpenick 1,92.8,2017
0902,Treptow-Köpenick 2,88.9,2017
0903,Treptow-Köpenick 3,91.5,2017
0904,Treptow-Köpenick 4,90.2,2017
0905,Treptow-Köpenick 5,96.3,2017
1001,Marzahn,86.8,2017
1002,Hellersdorf,87,2017
1003,Biesdorf,94.6,2017
1004,Kaulsdorf / Mahlsdorf,95.9,2017
1101,Hohenschönhausen Nord,89.4,2017
1102,Hohenschönhausen Süd,86,2017
1103,Lichtenberg Nord,86.5,2017
1104,Lichtenberg Mitte,92.7,2017
1105,Lichtenberg Süd,96.7,2017
1210,Reinickendorf-Ost,85.5,2017
1221,Tegel,86.7,2017
1222,Heiligensee-Konradshöhe,96.2,2017
1223,Frohnau-Hermsdorf,95.5,2017
1230,Waidmannslust,80.5,2017
0101,Zentrum,89.6,2014
0102,Moabit,88.5,2014
0103,Gesundbrunnen,72,2014
0104,Wedding,74.6,2014
0201,Kreuzberg Nord,84.3,2014
0202,Kreuzberg Süd,92.7,2014
0203,Kreuzberg Ost,88.8,2014
0204,Friedrichshain West,94.3,2014
0205,Friedrichshain Ost,95.5,2014
0301,Buch,84.6,2014
0302,Nördliches Pankow,95.9,2014
0303,Nördliches Weißensee,97,2014
0304,Südliches Pankow,95.1,2014
0305,Südliches Weißensee,92.9,2014
0306,Nördlicher Prenzl. Berg,94.8,2014
0307,Südlicher Prenzl. Berg,96.3,2014
0401,Charlottenburg-Nord,83.4,2014
0402,Westend,94,2014
0403,Charlottenburg,89.1,2014
0404,Schmargendorf,92.4,2014
0405,Wilmersdorf,86.6,2014
0406,Forst Grunewald,0,2014
0501,SPA 1,80,2014
0502,SPA 2,81.1,2014
0503,SPA 3,84.6,2014
0504,SPA 4,92.2,2014
0601,Region A,90.3,2014
0602,Region B,90,2014
0603,Region C,91.9,2014
0604,Region D,91.5,2014
0701,Schöneberg-Nord,90.5,2014
0702,Schöneberg-Süd,88.8,2014
0703,Friedenau,92.9,2014
0704,Tempelhof,87.6,2014
0705,Mariendorf,85.9,2014
0706,Marienfelde,82.5,2014
0707,Lichtenrade,88.5,2014
0801,Neukölln,75.1,2014
0802,Britz-Buckow,86.1,2014
0803,Gropiusstadt,81.8,2014
0804,Buckow Nord / Rudow,85,2014
0901,Treptow-Köpenick 1,94.1,2014
0902,Treptow-Köpenick 2,89.5,2014
0903,Treptow-Köpenick 3,94.9,2014
0904,Treptow-Köpenick 4,92.4,2014
0905,Treptow-Köpenick 5,96.1,2014
1001,Marzahn,85.2,2014
1002,Hellersdorf,80.8,2014
1003,Biesdorf,94.7,2014
1004,Kaulsdorf / Mahlsdorf,94.1,2014
1101,Hohenschönhausen Nord,88.1,2014
1102,Hohenschönhausen Süd,88,2014
1103,Lichtenberg Nord,88.4,2014
1104,Lichtenberg Mitte,87.2,2014
1105,Lichtenberg Süd,96.3,2014
1210,Reinickendorf-Ost,80.9,2014
1221,Tegel,81,2014
1222,Heiligensee-Konradshöhe,94.8,2014
