,Prognoseraum,Bezeichnung,have_language_deficit_relative,year,attended_kita_more_than_2_years_relative,attended_u8_relative,have_own_tv_relative,have_prominent_visuo_motoric_disorder_relative
87,0602,Region B,15.2,2013,90.7,97.3,6.5,16.6
88,0603,Region C,10.7,2013,92.4,96.6,2.3,10.7
89,0604,Region D,6.2,2013,92.2,97.4,1.5,7.7
90,0701,Schöneberg-Nord,29.6,2013,91.0,93.8,10.2,18.6
91,0702,Schöneberg-Süd,20.5,2013,90.0,93.4,5.6,19.7
92,0703,Friedenau,14.0,2013,91.0,95.0,5.0,14.0
93,0704,Tempelhof,26.0,2013,89.4,94.7,10.8,24.5
94,0705,Mariendorf,25.4,2013,82.9,97.5,11.8,20.0
95,0706,Marienfelde,33.1,2013,78.8,98.1,14.8,26.5
96,0707,Lichtenrade,23.7,2013,86.2,97.4,9.7,26.7
97,0801,Neukölln,55.6,2013,77.0,86.9,18.2,28.6
98,0802,Britz-Buckow,35.0,2013,85.7,92.5,11.1,23.1
99,0803,Gropiusstadt,48.7,2013,85.7,92.5,17.1,27.3
100,0804,Buckow Nord / Rudow,30.5,2013,87.8,92.8,10.8,25.5
101,0901,Treptow-Köpenick 1,5.1,2013,90.7,94.5,7.3,17.3
102,0902,Treptow-Köpenick 2,12.8,2013,93.2,89.9,13.8,16.4
103,0903,Treptow-Köpenick 3,13.1,2013,95.2,92.5,9.5,17.0
104,0904,Treptow-Köpenick 4,6.1,2013,93.8,97.1,8.5,12.5
105,0905,Treptow-Köpenick 5,4.6,2013,94.8,92.9,5.0,8.8
106,1001,Marzahn,29.0,2013,85.0,95.5,20.2,32.5
107,1002,Hellersdorf,39.3,2013,82.5,94.9,23.1,35.4
108,1003,Biesdorf,12.4,2013,94.1,97.2,4.4,16.9
109,1004,Kaulsdorf / Mahlsdorf,18.5,2013,93.9,96.6,6.3,17.4
110,1101,Hohenschönhausen Nord,28.9,2013,87.0,90.6,22.7,24.1
111,1102,Hohenschönhausen Süd,23.9,2013,87.1,92.2,11.7,14.4
112,1103,Lichtenberg Nord,29.1,2013,85.0,92.7,15.0,20.9
113,1104,Lichtenberg Mitte,23.9,2013,90.5,93.6,16.0,21.3
114,1105,Lichtenberg Süd,9.8,2013,95.5,95.0,2.6,11.4
115,1210,Reinickendorf-Ost,49.1,2013,82.9,88.4,21.5,28.2
116,1221,Tegel,28.5,2013,85.3,91.2,14.2,13.8
117,1222,Heiligensee-Konradshöhe,9.8,2013,96.4,96.7,4.8,9.2
118,1223,Frohnau-Hermsdorf,7.8,2013,92.9,98.2,2.5,8.5
119,1230,Waidmannslust,40.4,2013,80.0,91.8,16.1,23.5
120,0101,Zentrum,22.4,2018,87.0,92.9,0,10.2
121,0102,Moabit,30.1,2018,86.9,94.0,0,16.8
122,0103,Gesundbrunnen,55.6,2018,82.4,89.2,0,30.4
123,0104,Wedding,45.0,2018,80.1,89.8,0,26.5
124,0201,Kreuzberg Nord,65.9,2018,86.6,89.9,0,25.7
125,0202,Kreuzberg Süd,19.9,2018,93.6,92.3,0,12.9
126,0203,Kreuzberg Ost,37.0,2018,94.7,90.7,0,13.1
127,0204,Friedrichshain West,26.7,2018,88.6,92.9,0,15.4
128,0205,Friedrichshain Ost,12.1,2018,93.5,94.0,0,8.6
129,0301,Buch,27.5,2018,87.7,90.5,0,28.5
130,0302,Nördliches Pankow,13.0,2018,96.0,98.2,0,18.7
131,0303,Nördliches Weißensee,16.9,2018,92.8,96.6,0,20.8
132,0304,Südliches Pankow,10.1,2018,95.9,95.9,0,14.4
133,0305,Südliches Weißensee,18.9,2018,93.3,96.2,0,20.3
134,0306,Nördl. Prenzl. Berg,12.9,2018,95.5,96.3,0,11.8
135,0307,Südl. Prenzl. Berg,12.4,2018,95.0,95.3,0,10.4
136,0401,Charlottenburg-Nord,34.2,2018,85.7,94.4,0,15.2
137,0402,Westend,24.0,2018,85.9,96.5,0,9.4
138,0403,Charlottenburg,27.0,2018,87.6,94.9,0,15.3
139,0404,Schmargendorf,19.3,2018,91.1,94.8,0,12.9
140,0405,Wilmersdorf,29.7,2018,89.4,94.7,0,16.8
141,0406,Forst Grunewald,0.0,2018,0.0,0.0,0,0.0
142,0501,SPA 1,42.6,2018,78.2,91.5,0,19.3
143,0502,SPA 2,39.9,2018,80.0,92.3,0,23.0
144,0503,SPA 3,37.4,2018,89.9,92.7,0,8.2
145,0504,SPA 4,17.7,2018,88.2,96.3,0,15.2
146,0601,Region A,19.3,2018,94.5,97.3,0,11.9
147,0602,Region B,25.9,2018,90.2,98.1,0,18.0
148,0603,Region C,19.1,2018,90.0,96.9,0,10.7
149,0604,Region D,17.0,2018,92.6,97.7,0,9.2
150,0701,Schöneberg-Nord,37.5,2018,85.4,93.6,0,24.6
151,0702,Schöneberg-Süd,22.6,2018,94.0,97.0,0,12.4
152,0703,Friedenau,15.8,2018,92.2,97.3,0,15.1
153,0704,Tempelhof,29.0,2018,91.1,96.4,0,22.0
154,0705,Mariendorf,26.4,2018,89.5,96.3,0,23.3
155,0706,Marienfelde,32.7,2018,83.8,97.9,0,25.0
156,0707,Lichtenrade,24.3,2018,90.7,97.6,0,21.1
157,0801,Neukölln,41.6,2018,86.4,88.3,0,20.0
158,0802,Britz-Buckow,32.5,2018,89.4,92.8,0,21.0
159,0803,Gropiusstadt,42.9,2018,88.9,90.7,0,28.6
160,0804,Buckow Nord / Rudow,22.6,2018,90.1,93.6,0,23.7
161,0901,Treptow-Köpenick 1,9.8,2018,94.0,94.7,0,14.5
162,0902,Treptow-Köpenick 2,25.1,2018,85.9,89.9,0,20.5
163,0903,Treptow-Köpenick 3,14.5,2018,95.0,95.0,0,15.9
164,0904,Treptow-Köpenick 4,19.2,2018,93.7,95.4,0,18.9
165,0905,Treptow-Köpenick 5,11.5,2018,92.6,95.2,0,10.8
166,1001,Marzahn,40.0,2018,88.0,94.2,0,30.0
167,1002,Hellersdorf,42.2,2018,86.1,91.9,0,40.0
168,1003,Biesdorf,16.3,2018,91.4,95.6,0,16.4
169,1004,Kaulsdorf / Mahlsdorf,13.0,2018,97.2,97.9,0,19.5
170,1101,Hohenschönhausen Nord,38.9,2018,85.7,92.5,0,23.4
171,1102,Hohenschönhausen Süd,29.9,2018,85.5,97.7,0,10.4
172,1103,Lichtenberg Nord,33.4,2018,88.5,96.1,0,20.1
173,1104,Lichtenberg Mitte,29.7,2018,92.1,92.7,0,21.3
174,1105,Lichtenberg Süd,5.8,2018,97.2,96.8,0,13.4
175,1210,Reinickendorf-Ost,48.7,2018,86.9,93.6,0,25.2
176,1221,Tegel,41.5,2018,83.6,93.6,0,22.1
177,1222,Heiligensee-Konradshöhe,6.9,2018,93.5,98.0,0,15.7
178,1223,Frohnau-Hermsdorf,11.1,2018,94.4,97.9,0,14.3
179,1230,Waidmannslust,50.5,2018,81.7,89.9,0,32.7
180,0101,Zentrum,20.7,2012,90.6,88.0,6.4,9.8
181,0102,Moabit,37.6,2012,84.0,80.8,13.7,22.8
182,0103,Gesundbrunnen,59.4,2012,74.7,75.8,25.0,35.0
183,0104,Wedding,53.6,2012,76.1,78.4,21.0,31.9
184,0201,Kreuzberg Nord,38.3,2012,85.9,76.1,16.2,25.5
185,0202,Kreuzberg Süd,15.9,2012,89.2,86.8,5.5,11.7
186,0203,Kreuzberg Ost,28.5,2012,89.7,89.8,6.9,15.2
187,0204,Friedrichshain West,11.6,2012,92.7,86.0,5.2,4.7
188,0205,Friedrichshain Ost,10.7,2012,92.8,87.3,4.4,7.7
189,0301,Buch,24.5,2012,89.2,92.3,12.5,24.5
190,0302,Nördliches Pankow,11.4,2012,95.9,94.0,9.2,16.0
191,0303,Nördliches Weißensee,12.5,2012,96.5,90.4,6.4,18.2
192,0304,Südliches Pankow,9.6,2012,94.6,89.7,5.7,17.5
193,0305,Südliches Weißensee,13.3,2012,94.2,85.8,10.4,20.2
194,0306,Nördlicher Prenzl. Berg,7.2,2012,95.8,91.0,2.8,9.7
195,0307,Südlicher Prenzl. Berg,7.1,2012,96.5,91.1,1.5,10.9
196,0401,Charlottenburg-Nord,22.9,2012,85.0,84.8,20.8,11.3
197,0402,Westend,8.7,2012,91.3,92.8,2.6,4.5
198,0403,Charlottenburg,18.9,2012,90.1,89.8,6.8,12.3
199,0404,Schmargendorf,16.0,2012,89.3,90.5,3.2,19.2
200,0405,Wilmersdorf,22.9,2012,93.1,90.6,6.7,19.2
201,0406,Forst Grunewald,0.0,2012,0.0,0.0,0.0,0.0
202,0501,SPA 1,32.3,2012,83.4,83.9,16.7,12.9
203,0502,SPA 2,25.1,2012,85.8,84.7,17.4,15.9
204,0503,SPA 3,27.1,2012,89.4,83.7,16.4,8.8
205,0504,SPA 4,11.1,2012,90.3,92.4,2.4,16.1
206,0601,Region A,13.6,2012,90.0,91.2,7.1,8.8
207,0602,Region B,13.5,2012,92.0,91.8,9.0,10.9
208,0603,Region C,8.9,2012,93.1,94.8,2.8,9.6
209,0604,Region D,4.1,2012,93.5,93.7,1.6,5.2
210,0701,Schöneberg-Nord,30.8,2012,88.1,84.3,11.6,17.4
211,0702,Schöneberg-Süd,21.3,2012,91.3,85.6,7.0,14.8
212,0703,Friedenau,9.7,2012,93.1,90.9,6.4,6.7
213,0704,Tempelhof,21.0,2012,88.2,86.4,13.2,22.4
214,0705,Mariendorf,22.0,2012,87.9,91.1,15.0,15.6
215,0706,Marienfelde,26.4,2012,80.9,92.0,18.7,15.4
216,0707,Lichtenrade,21.5,2012,88.1,92.4,10.1,21.1
217,0801,Neukölln,49.5,2012,74.9,75.4,17.9,25.7
218,0802,Britz-Buckow,26.5,2012,86.8,86.9,12.3,16.5
219,0803,Gropiusstadt,49.4,2012,86.5,81.4,24.2,25.6
220,0804,Buckow Nord / Rudow,22.5,2012,85.9,86.5,9.9,17.0
221,0901,Treptow-Köpenick 1,5.1,2012,93.0,88.9,10.5,14.1
222,0902,Treptow-Köpenick 2,9.7,2012,90.2,84.2,13.7,13.7
223,0903,Treptow-Köpenick 3,11.3,2012,95.7,91.8,13.2,7.4
224,0904,Treptow-Köpenick 4,5.0,2012,96.9,91.5,7.9,11.0
225,0905,Treptow-Köpenick 5,5.8,2012,95.6,90.1,4.6,9.0
226,1001,Marzahn,30.3,2012,87.4,86.9,27.5,28.2
227,1002,Hellersdorf,31.2,2012,85.7,86.0,28.2,25.2
228,1003,Biesdorf,6.2,2012,95.7,94.1,8.9,14.8
229,1004,Kaulsdorf / Mahlsdorf,12.5,2012,95.5,92.0,7.2,16.1
230,1101,Hohenschönhausen Nord,26.0,2012,90.8,84.2,23.2,20.5
231,1102,Hohenschönhausen Süd,19.3,2012,92.7,87.1,14.3,10.5
232,1103,Lichtenberg Nord,23.9,2012,89.7,86.3,14.3,18.2
233,1104,Lichtenberg Mitte,24.8,2012,90.6,82.8,18.8,16.5
234,1105,Lichtenberg Süd,5.9,2012,95.9,93.7,3.9,9.5
235,1210,Reinickendorf-Ost,45.1,2012,83.8,82.7,20.3,24.6
236,1221,Tegel,27.9,2012,87.9,83.3,19.3,13.9
237,1222,Heiligensee-Konradshöhe,7.3,2012,95.2,88.1,3.8,10.8
238,1223,Frohnau-Hermsdorf,6.6,2012,95.8,91.4,4.1,6.3
239,1230,Waidmannslust,35.8,2012,84.6,86.3,19.1,17.8
240,0101,Zentrum,18.1,2010,91.4027149321267,86.58318425760287,5.414012738853503,6.696428571428571
