,Prognoseraum,Bezeichnung,have_language_deficit_relative,year,attended_kita_more_than_2_years_relative,attended_u8_relative,have_own_tv_relative,have_prominent_visuo_motoric_disorder_relative
342,0902,Treptow-Köpenick 2,25.4,2016,85.4,88.5,11.2,16.9
343,0903,Treptow-Köpenick 3,13.1,2016,91.7,94.6,10.6,10.6
344,0904,Treptow-Köpenick 4,19.3,2016,90.0,94.2,8.1,19.7
345,0905,Treptow-Köpenick 5,7.7,2016,96.5,94.9,4.6,7.9
346,1001,Marzahn,36.3,2016,86.7,93.6,17.7,26.4
347,1002,Hellersdorf,33.4,2016,87.3,92.2,21.4,39.7
348,1003,Biesdorf,10.5,2016,93.2,95.6,4.1,16.2
349,1004,Kaulsdorf / Mahlsdorf,11.6,2016,96.6,96.7,5.8,17.3
350,1101,Hohenschönhausen Nord,35.0,2016,87.5,91.9,20.6,26.2
351,1102,Hohenschönhausen Süd,31.5,2016,87.6,97.1,8.0,16.8
352,1103,Lichtenberg Nord,35.3,2016,81.0,93.1,8.0,23.5
353,1104,Lichtenberg Mitte,26.9,2016,89.6,90.7,12.5,28.4
354,1105,Lichtenberg Süd,11.9,2016,92.3,94.3,3.1,15.5
355,1210,Reinickendorf-Ost,43.1,2016,85.9,91.0,15.7,22.1
356,1221,Tegel,38.5,2016,79.7,93.0,15.8,17.5
357,1222,Heiligensee-Konradshöhe,17.2,2016,93.4,97.0,4.0,14.8
358,1223,Frohnau-Hermsdorf,6.5,2016,96.3,97.3,2.1,13.3
359,1230,Waidmannslust,47.3,2016,81.0,92.1,12.0,29.5
360,0101,Zentrum,25.4,2015,88.3,93.5,4.3,14.7
361,0102,Moabit,42.6,2015,85.6,90.8,8.1,29.1
362,0103,Gesundbrunnen,60.7,2015,77.9,85.3,15.3,36.5
363,0104,Wedding,47.3,2015,75.9,87.5,15.6,34.5
364,0201,Kreuzberg Nord,47.7,2015,82.5,89.7,9.1,23.6
365,0202,Kreuzberg Süd,17.0,2015,91.9,89.7,2.2,12.0
366,0203,Kreuzberg Ost,30.4,2015,91.5,87.4,4.2,16.0
367,0204,Friedrichshain West,17.1,2015,92.1,93.7,7.9,12.4
368,0205,Friedrichshain Ost,7.1,2015,95.0,93.2,2.5,9.7
369,0301,Buch,17.5,2015,90.7,92.9,16.2,35.2
370,0302,Nördliches Pankow,8.1,2015,95.8,96.7,5.7,15.3
371,0303,Nördliches Weißensee,9.2,2015,95.9,94.7,6.0,22.0
372,0304,Südliches Pankow,8.2,2015,94.9,95.0,3.7,19.3
373,0305,Südliches Weißensee,11.1,2015,95.3,95.7,6.7,22.8
374,0306,Nördl. Prenzl. Berg,8.9,2015,95.5,94.6,2.6,13.7
375,0307,Südl. Prenzl. Berg,5.4,2015,96.1,93.2,0.6,11.9
376,0401,Charlottenburg-Nord,33.3,2015,83.0,95.8,9.8,18.7
377,0402,Westend,17.6,2015,88.2,98.5,1.9,8.2
378,0403,Charlottenburg,23.7,2015,86.9,94.3,6.2,18.2
379,0404,Schmargendorf,21.0,2015,89.1,95.7,2.9,23.8
380,0405,Wilmersdorf,27.8,2015,86.1,96.5,3.5,24.3
381,0406,Forst Grunewald,0.0,2015,0.0,0.0,0.0,0.0
382,0501,SPA 1,36.9,2015,81.3,92.4,14.8,24.0
383,0502,SPA 2,30.4,2015,81.6,94.1,13.5,21.0
384,0503,SPA 3,43.3,2015,78.0,92.0,13.9,19.4
385,0504,SPA 4,19.3,2015,84.8,96.6,5.0,20.2
386,0601,Region A,20.7,2015,89.8,96.6,6.5,14.7
387,0602,Region B,22.5,2015,87.7,95.8,8.1,27.0
388,0603,Region C,14.1,2015,91.5,98.0,3.0,17.0
389,0604,Region D,7.4,2015,92.0,97.0,3.4,9.5
390,0701,Schöneberg-Nord,41.3,2015,89.0,93.2,4.3,22.0
391,0702,Schöneberg-Süd,18.0,2015,89.8,93.4,3.4,17.8
392,0703,Friedenau,14.4,2015,90.1,97.1,4.6,17.8
393,0704,Tempelhof,34.2,2015,83.9,96.8,8.7,28.4
394,0705,Mariendorf,31.7,2015,84.8,95.4,9.4,25.3
395,0706,Marienfelde,32.2,2015,79.2,96.0,10.5,26.5
396,0707,Lichtenrade,24.1,2015,84.9,96.2,4.3,18.6
397,0801,Neukölln,48.4,2015,76.3,88.2,13.8,27.7
398,0802,Britz-Buckow,37.0,2015,82.8,92.0,10.3,23.3
399,0803,Gropiusstadt,50.7,2015,83.3,91.4,19.1,32.7
400,0804,Buckow Nord / Rudow,29.5,2015,87.8,93.3,7.9,22.8
401,0901,Treptow-Köpenick 1,4.3,2015,94.0,92.3,6.1,12.3
402,0902,Treptow-Köpenick 2,14.4,2015,88.9,90.1,12.2,19.5
403,0903,Treptow-Köpenick 3,12.7,2015,95.3,97.0,6.8,14.3
404,0904,Treptow-Köpenick 4,14.5,2015,90.2,91.9,11.0,20.3
405,0905,Treptow-Köpenick 5,6.9,2015,94.6,95.3,4.3,14.1
406,1001,Marzahn,34.0,2015,82.6,96.1,20.4,36.6
407,1002,Hellersdorf,41.0,2015,82.2,93.6,18.9,34.7
408,1003,Biesdorf,11.8,2015,95.1,96.9,4.5,18.0
409,1004,Kaulsdorf / Mahlsdorf,14.3,2015,95.8,97.5,6.5,22.7
410,1101,Hohenschönhausen Nord,33.7,2015,86.0,93.6,21.3,27.2
411,1102,Hohenschönhausen Süd,29.7,2015,84.0,97.7,12.4,17.4
412,1103,Lichtenberg Nord,30.6,2015,86.8,94.3,8.3,29.1
413,1104,Lichtenberg Mitte,23.1,2015,90.1,94.2,16.0,23.6
414,1105,Lichtenberg Süd,3.8,2015,97.3,96.6,3.3,14.8
415,1210,Reinickendorf-Ost,44.8,2015,82.1,90.5,18.1,19.5
416,1221,Tegel,40.5,2015,77.8,89.1,12.6,14.5
417,1222,Heiligensee-Konradshöhe,7.8,2015,96.5,95.0,2.4,3.5
418,1223,Frohnau-Hermsdorf,12.2,2015,94.3,97.5,1.7,13.6
419,1230,Waidmannslust,48.5,2015,76.1,93.4,12.9,26.1
420,0101,Zentrum,16.7,2008,86.24595469255664,78.9980732177264,9.700176366843031,12.01923076923077
421,0102,Moabit,38.5,2008,80.23850085178876,79.46257197696737,15.555555555555555,16.826923076923077
422,0103,Gesundbrunnen,57.5,2008,68.02816901408451,76.34782608695652,34.56561922365989,29.6875
423,0104,Wedding,48.8,2008,74.10358565737052,74.38825448613377,29.320113314447596,25.62747688243065
424,0201,Kreuzberg Nord,42.1,2008,80.32128514056225,76.52370203160271,22.085889570552148,23.895582329317268
425,0202,Kreuzberg Süd,22.2,2008,84.99025341130604,82.24101479915433,9.591836734693878,14.814814814814817
426,0203,Kreuzberg Ost,39.9,2008,87.78054862842893,81.02981029810299,16.966580976863753,17.617866004962778
427,0204,Friedrichshain West,25.2,2008,89.64143426294821,84.95145631067962,14.163090128755364,19.12350597609562
428,0205,Friedrichshain Ost,14.7,2008,92.56360078277886,81.30630630630631,6.6115702479338845,12.13307240704501
429,0301,Buch,18.4,2008,93.26923076923076,87.62886597938144,14.285714285714286,27.884615384615383
430,0302,Nördliches Pankow,11.4,2008,96.93396226415096,89.84375,10.0,13.583138173302109
431,0303,Nördliches Weißensee,10.5,2008,92.1311475409836,93.23843416370109,7.958477508650519,13.86138613861386
432,0304,Südliches Pankow,9.1,2008,95.05988023952096,88.74172185430463,5.17799352750809,13.988095238095235
433,0305,Südliches Weißensee,14.3,2008,92.28650137741047,88.72403560830861,11.377245508982035,11.956521739130435
434,0306,Nördlicher Prenzl. Berg,10.2,2008,94.7278911564626,90.48543689320388,6.284658040665434,11.092150170648464
435,0307,Südlicher Prenzl. Berg,6.0,2008,97.31543624161074,87.53246753246754,2.823529411764706,6.222222222222222
436,0401,Charlottenburg-Nord,17.8,2008,84.40366972477064,83.15789473684211,16.50485436893204,16.9811320754717
437,0402,Westend,8.7,2008,91.92307692307692,95.2991452991453,3.5294117647058822,9.448818897637794
438,0403,Charlottenburg,17.5,2008,84.89042675893887,84.58445040214477,9.79689366786141,10.930232558139537
439,0404,Schmargendorf,10.8,2008,84.94623655913979,86.61087866108787,7.835820895522388,10.37037037037037
440,0405,Wilmersdorf,21.4,2008,85.99221789883268,87.89237668161435,6.818181818181818,18.395303326810176
441,0406,Forst Grunewald,0.0,2008,0.0,0.0,0.0,0.0
442,0501,SPA 1,23.2,2008,81.09919571045576,84.32267884322678,21.294964028776977,18.926174496644297
443,0502,SPA 2,22.6,2008,82.72583201267828,84.2756183745583,12.265758091993186,14.536741214057509
444,0503,SPA 3,34.2,2008,84.82142857142857,80.95238095238095,23.25581395348837,16.964285714285715
445,0504,SPA 4,11.4,2008,92.45283018867924,92.3076923076923,2.027027027027027,13.20754716981132
446,0601,Region A,14.5,2008,91.03313840155946,90.37199124726476,9.387755102040815,9.001956947162427
447,0602,Region B,17.7,2008,89.2249527410208,91.27789046653145,9.146341463414634,17.613636363636363
448,0603,Region C,9.8,2008,92.62166405023548,93.8566552901024,2.936378466557912,9.28
449,0604,Region D,6.2,2008,91.54228855721394,90.67164179104478,1.706484641638225,6.187290969899665
450,0701,Schöneberg-Nord,27.3,2008,82.58426966292134,81.23076923076923,14.953271028037385,14.084507042253522
451,0702,Schöneberg-Süd,21.8,2008,87.42331288343559,88.21548821548822,9.477124183006536,17.391304347826086
452,0703,Friedenau,12.5,2008,94.3181818181818,89.7196261682243,6.606606606606607,10.734463276836156
453,0704,Tempelhof,19.1,2008,86.88888888888889,88.39506172839506,15.676959619952497,12.83783783783784
454,0705,Mariendorf,12.9,2008,89.25619834710744,88.56304985337243,13.569321533923304,12.430939226519335
455,0706,Marienfelde,20.3,2008,85.44600938967136,91.23711340206184,18.5,22.641509433962263
456,0707,Lichtenrade,8.7,2008,90.0262467191601,90.11299435028248,12.35632183908046,14.397905759162304
457,0801,Neukölln,48.2,2008,71.23493975903614,73.96039603960396,25.165016501650165,28.51739788199697
458,0802,Britz-Buckow,26.3,2008,82.75862068965517,83.48214285714286,15.604395604395604,16.90427698574338
459,0803,Gropiusstadt,38.0,2008,81.97879858657244,88.67924528301887,18.50393700787401,18.72791519434629
460,0804,Buckow Nord / Rudow,16.4,2008,84.39153439153439,89.72809667673717,13.218390804597702,19.148936170212767
461,0901,Treptow-Köpenick 1,7.6,2008,90.45346062052506,88.18897637795276,11.868686868686869,10.42654028436019
462,0902,Treptow-Köpenick 2,7.8,2008,91.66666666666669,81.4207650273224,12.76595744680851,15.856777493606138
463,0903,Treptow-Köpenick 3,7.1,2008,91.7948717948718,90.86021505376344,12.266666666666667,7.197943444730077
464,0904,Treptow-Köpenick 4,5.5,2008,93.859649122807,88.26291079812206,15.068493150684931,13.215859030837004
465,0905,Treptow-Köpenick 5,2.6,2008,95.49295774647888,87.31117824773413,5.491329479768786,6.534090909090909
466,1001,Marzahn,23.8,2008,85.08771929824562,84.8159509202454,26.666666666666668,17.705735660847882
467,1002,Hellersdorf,12.7,2008,84.29906542056075,87.45098039215686,26.73267326732673,28.181818181818183
468,1003,Biesdorf,4.4,2008,93.15068493150685,93.22033898305084,8.571428571428571,10.071942446043163
469,1004,Kaulsdorf / Mahlsdorf,4.3,2008,95.3757225433526,89.96865203761756,8.35820895522388,10.404624277456648
470,1101,Hohenschönhausen Nord,31.0,2008,90.9090909090909,84.84848484848484,24.71131639722864,24.72647702407002
471,1102,Hohenschönhausen Süd,16.0,2008,89.39393939393939,86.84210526315789,18.64951768488746,13.414634146341465
472,1103,Lichtenberg Nord,16.6,2008,86.95652173913044,82.84182305630027,23.366834170854272,14.043583535108958
473,1104,Lichtenberg Mitte,23.3,2008,88.18897637795276,80.56338028169014,19.83471074380165,17.587939698492463
474,1105,Lichtenberg Süd,2.9,2008,99.02439024390245,91.75257731958764,8.5,8.133971291866029
475,1210,Reinickendorf-Ost,52.0,2008,85.71428571428571,76.80722891566265,28.24207492795389,25.824175824175825
476,1221,Tegel,30.9,2008,85.63218390804597,81.21019108280255,23.423423423423426,13.881019830028327
477,1222,Heiligensee-Konradshöhe,9.3,2008,94.5,88.60103626943005,5.913978494623656,9.090909090909092
478,1223,Frohnau-Hermsdorf,11.3,2008,92.63157894736842,93.20754716981132,4.761904761904762,7.719298245614035
479,1230,Waidmannslust,28.6,2008,83.67071524966262,85.01529051987768,18.81331403762663,16.331994645247658
480,0101,Zentrum,17.6,2009,89.69404186795491,80.79207920792079,7.4957410562180575,8.860759493670885
481,0102,Moabit,42.6,2009,77.3076923076923,76.15062761506276,15.682281059063136,21.291448516579408
482,0103,Gesundbrunnen,53.5,2009,71.64179104477611,78.0,29.53125,31.64383561643836
483,0104,Wedding,50.6,2009,74.13793103448276,78.23343848580441,28.91737891737892,24.83574244415243
484,0201,Kreuzberg Nord,50.3,2009,83.4,74.5575221238938,19.50718685831622,27.766599597585515
485,0202,Kreuzberg Süd,26.6,2009,86.82745825602969,81.05906313645622,9.88593155893536,19.21641791044776
486,0203,Kreuzberg Ost,43.6,2009,82.4766355140187,84.86486486486487,14.698795180722891,22.377622377622377
487,0204,Friedrichshain West,5.9,2009,89.49152542372882,89.49416342412451,7.5,9.897610921501707
488,0205,Friedrichshain Ost,10.2,2009,94.106463878327,88.34745762711864,3.8229376257545273,9.88593155893536
489,0301,Buch,29.9,2009,88.23529411764706,83.17757009345794,18.181818181818183,40.833333333333336
490,0302,Nördliches Pankow,13.5,2009,94.90291262135922,91.84210526315788,10.38961038961039,17.51824817518248
491,0303,Nördliches Weißensee,15.1,2009,93.4640522875817,91.72661870503596,11.11111111111111,19.016393442622952
492,0304,Südliches Pankow,12.2,2009,94.7887323943662,89.6875,8.484848484848484,17.59656652360515
493,0305,Südliches Weißensee,14.4,2009,94.3019943019943,89.1025641025641,11.377245508982035,21.714285714285715
494,0306,Nördlicher Prenzl. Berg,14.2,2009,94.51219512195122,87.8839590443686,6.776859504132231,16.104294478527606
495,0307,Südlicher Prenzl. Berg,9.5,2009,95.703125,89.39393939393939,2.320675105485232,12.6232741617357
496,0401,Charlottenburg-Nord,17.5,2009,79.6875,84.82142857142857,19.35483870967742,8.661417322834646
497,0402,Westend,8.1,2009,90.6614785992218,89.33333333333333,4.878048780487805,7.450980392156863
498,0403,Charlottenburg,17.9,2009,84.07494145199063,88.70523415977961,8.51581508515815,13.45029239766082
499,0404,Schmargendorf,14.1,2009,90.49180327868852,86.36363636363636,4.436860068259386,16.065573770491802
500,0405,Wilmersdorf,20.8,2009,84.22053231939164,87.04883227176221,5.13347022587269,18.8212927756654
501,0406,Forst Grunewald,0.0,2009,0.0,0.0,0.0,0.0
502,0501,SPA 1,24.0,2009,84.94623655913979,83.38368580060423,14.022662889518411,18.046132971506104
503,0502,SPA 2,25.9,2009,81.94888178913737,82.83712784588441,16.72473867595819,15.248796147672552
504,0503,SPA 3,26.8,2009,86.73469387755102,89.1891891891892,14.130434782608695,13.775510204081632
505,0504,SPA 4,7.3,2009,95.36423841059604,88.35616438356165,4.444444444444445,11.920529801324504
506,0601,Region A,13.5,2009,89.11819887429644,89.375,8.514851485148515,10.38961038961039
507,0602,Region B,14.1,2009,87.36263736263736,90.31620553359684,5.791505791505792,11.11111111111111
508,0603,Region C,8.6,2009,91.3793103448276,91.49659863945578,3.236245954692557,8.240887480190175
509,0604,Region D,5.0,2009,91.75438596491227,92.47967479674796,1.2658227848101269,4.964539007092198
510,0701,Schöneberg-Nord,24.8,2009,87.71929824561404,86.90095846645367,13.45565749235474,13.196480938416425
511,0702,Schöneberg-Süd,26.2,2009,88.28828828828829,87.74834437086092,16.077170418006432,13.855421686746988
512,0703,Friedenau,16.3,2009,91.56327543424318,90.26315789473684,8.443271767810026,7.407407407407407
513,0704,Tempelhof,20.0,2009,89.42731277533039,86.48648648648648,14.928909952606634,18.36283185840708
514,0705,Mariendorf,23.6,2009,85.71428571428571,87.89808917197452,16.71826625386997,14.57725947521866
515,0706,Marienfelde,12.1,2009,83.2618025751073,89.95215311004785,18.51851851851852,12.06896551724138
516,0707,Lichtenrade,7.8,2009,84.82587064676616,90.7859078590786,11.93633952254642,12.75
517,0801,Neukölln,43.3,2009,75.55555555555556,74.88667271078876,25.46439628482972,28.99709302325581
518,0802,Britz-Buckow,24.6,2009,84.42105263157895,85.44600938967136,18.036529680365295,19.327731092436974
519,0803,Gropiusstadt,42.2,2009,83.55704697986577,86.41509433962264,19.784172661870503,27.272727272727277
520,0804,Buckow Nord / Rudow,19.0,2009,89.8989898989899,87.84530386740332,10.133333333333333,20.865139949109416
521,0901,Treptow-Köpenick 1,7.5,2009,93.0,87.72845953002611,13.350785340314136,11.16751269035533
522,0902,Treptow-Köpenick 2,7.8,2009,92.26932668329177,83.65122615803814,13.520408163265309,12.807881773399014
523,0903,Treptow-Köpenick 3,6.4,2009,94.17721518987342,92.14659685863874,8.556149732620321,6.54911838790932
524,0904,Treptow-Köpenick 4,10.4,2009,94.1908713692946,87.4439461883408,9.523809523809524,16.666666666666668
525,0905,Treptow-Köpenick 5,2.3,2009,97.10982658959536,87.65432098765432,4.117647058823529,9.011627906976743
526,1001,Marzahn,14.3,2009,85.16209476309227,84.83547925608012,27.710843373493976,15.24390243902439
527,1002,Hellersdorf,12.2,2009,86.56462585034014,86.40429338103756,27.82764811490126,21.46422628951747
528,1003,Biesdorf,3.2,2009,93.75,91.66666666666669,9.67741935483871,9.6
529,1004,Kaulsdorf / Mahlsdorf,4.1,2009,95.90443686006826,93.77289377289377,8.480565371024735,4.761904761904762
530,1101,Hohenschönhausen Nord,35.3,2009,85.33604887983707,88.8157894736842,27.814569536423843,24.04040404040404
531,1102,Hohenschönhausen Süd,18.8,2009,86.54545454545455,84.8249027237354,15.444015444015443,18.248175182481752
532,1103,Lichtenberg Nord,20.6,2009,85.0253807106599,84.07821229050279,17.112299465240643,16.751269035532996
533,1104,Lichtenberg Mitte,24.0,2009,87.55656108597285,85.06024096385542,20.649651972157773,16.810344827586206
534,1105,Lichtenberg Süd,5.4,2009,96.99570815450645,92.13973799126636,4.910714285714286,8.75
535,1210,Reinickendorf-Ost,37.9,2009,80.52631578947368,81.9620253164557,22.12885154061625,19.84126984126984
536,1221,Tegel,37.7,2009,83.55704697986577,82.49027237354086,19.50354609929078,17.22972972972973
537,1222,Heiligensee-Konradshöhe,11.6,2009,94.76744186046513,94.44444444444444,3.125,14.942528735632184
538,1223,Frohnau-Hermsdorf,7.2,2009,91.58576051779936,92.46575342465754,3.389830508474576,5.51948051948052
539,1230,Waidmannslust,31.3,2009,80.86838534599728,83.69565217391305,20.66957787481805,17.847411444141688
540,0101,Zentrum,17.8,2014,89.6,92.7,4.7,14.7
541,0102,Moabit,34.5,2014,88.5,91.1,11.7,21.4
542,0103,Gesundbrunnen,59.6,2014,72.0,86.5,18.2,36.8
543,0104,Wedding,43.1,2014,74.6,87.9,18.3,28.6
544,0201,Kreuzberg Nord,48.2,2014,84.3,88.2,12.3,22.3
545,0202,Kreuzberg Süd,18.1,2014,92.7,92.8,2.7,15.7
546,0203,Kreuzberg Ost,31.9,2014,88.8,89.8,4.0,17.3
547,0204,Friedrichshain West,11.7,2014,94.3,93.8,4.8,11.5
548,0205,Friedrichshain Ost,6.7,2014,95.5,94.5,3.4,9.1
549,0301,Buch,24.6,2014,84.6,86.2,19.5,31.5
550,0302,Nördliches Pankow,12.4,2014,95.9,95.7,3.6,21.1
551,0303,Nördliches Weißensee,12.1,2014,97.0,95.7,7.3,19.9
552,0304,Südliches Pankow,10.7,2014,95.1,94.4,3.7,19.9
553,0305,Südliches Weißensee,12.4,2014,92.9,91.4,4.8,23.4
554,0306,Nördlicher Prenzl. Berg,11.2,2014,94.8,95.2,2.5,17.4
555,0307,Südlicher Prenzl. Berg,10.4,2014,96.3,92.9,1.2,15.4
556,0401,Charlottenburg-Nord,28.8,2014,83.4,94.4,16.1,19.1
557,0402,Westend,10.6,2014,94.0,97.5,4.9,9.9
558,0403,Charlottenburg,24.7,2014,89.1,96.3,5.1,16.3
559,0404,Schmargendorf,19.0,2014,92.4,96.9,3.1,21.6
560,0405,Wilmersdorf,29.0,2014,86.6,94.5,3.6,22.4
561,0406,Forst Grunewald,0.0,2014,0.0,0.0,0.0,0.0
562,0501,SPA 1,30.9,2014,80.0,91.3,17.5,21.4
563,0502,SPA 2,28.4,2014,81.1,93.1,15.3,24.5
564,0503,SPA 3,27.1,2014,84.6,94.4,12.7,21.1
565,0504,SPA 4,12.6,2014,92.2,96.6,2.2,16.7
566,0601,Region A,17.5,2014,90.3,95.9,4.8,15.5
567,0602,Region B,17.3,2014,90.0,96.5,6.1,24.1
568,0603,Region C,10.1,2014,91.9,96.6,2.6,11.2
569,0604,Region D,5.7,2014,91.5,97.6,1.5,6.8
570,0701,Schöneberg-Nord,41.2,2014,90.5,93.3,5.8,17.6
571,0702,Schöneberg-Süd,24.6,2014,88.8,93.6,4.1,16.1
572,0703,Friedenau,13.0,2014,92.9,96.4,3.3,12.2
573,0704,Tempelhof,30.8,2014,87.6,95.6,11.1,25.0
574,0705,Mariendorf,27.2,2014,85.9,95.0,12.6,31.0
575,0706,Marienfelde,22.0,2014,82.5,97.5,13.7,22.6
576,0707,Lichtenrade,21.7,2014,88.5,96.5,12.1,18.2
577,0801,Neukölln,51.5,2014,75.1,87.6,12.0,27.1
578,0802,Britz-Buckow,30.9,2014,86.1,92.7,13.0,22.1
579,0803,Gropiusstadt,51.1,2014,81.8,89.1,18.0,31.4
580,0804,Buckow Nord / Rudow,24.8,2014,85.0,91.1,12.5,22.7
581,0901,Treptow-Köpenick 1,5.6,2014,94.1,94.5,4.8,11.1
582,0902,Treptow-Köpenick 2,9.7,2014,89.5,92.2,9.7,12.6
583,0903,Treptow-Köpenick 3,9.4,2014,94.9,96.4,4.8,12.7
584,0904,Treptow-Köpenick 4,7.7,2014,92.4,93.9,8.7,14.7
585,0905,Treptow-Köpenick 5,5.4,2014,96.1,94.2,5.6,10.8
586,1001,Marzahn,30.2,2014,85.2,95.0,20.9,36.7
587,1002,Hellersdorf,37.0,2014,80.8,94.0,25.7,29.9
588,1003,Biesdorf,2.9,2014,94.7,98.5,4.0,12.0
589,1004,Kaulsdorf / Mahlsdorf,16.6,2014,94.1,97.2,5.8,15.4
590,1101,Hohenschönhausen Nord,29.4,2014,88.1,91.4,22.7,26.8
591,1102,Hohenschönhausen Süd,30.1,2014,88.0,94.7,8.1,20.2
592,1103,Lichtenberg Nord,29.1,2014,88.4,93.4,12.6,22.5
593,1104,Lichtenberg Mitte,24.5,2014,87.2,94.3,11.3,25.4
594,1105,Lichtenberg Süd,6.7,2014,96.3,98.0,2.5,18.0
595,1210,Reinickendorf-Ost,47.9,2014,80.9,88.9,17.9,27.7
596,1221,Tegel,37.9,2014,81.0,90.3,15.4,15.2
597,1222,Heiligensee-Konradshöhe,7.9,2014,94.8,95.2,3.7,18.8
598,1223,Frohnau-Hermsdorf,6.8,2014,95.8,97.7,3.3,9.9
599,1230,Waidmannslust,45.5,2014,77.4,91.8,15.2,25.9
600,0101,Zentrum,16.6,2011,91.4,89.6,5.2,6.5
601,0102,Moabit,38.3,2011,86.0,77.0,13.9,20.1
602,0103,Gesundbrunnen,59.7,2011,73.9,74.2,23.1,35.0
603,0104,Wedding,56.2,2011,75.7,81.6,21.1,28.1
604,0201,Kreuzberg Nord,33.5,2011,85.3,76.1,19.7,22.2
605,0202,Kreuzberg Süd,16.2,2011,90.0,85.3,7.1,12.3
606,0203,Kreuzberg Ost,32.5,2011,86.6,86.6,9.2,15.7
607,0204,Friedrichshain West,8.1,2011,91.7,88.0,6.0,6.3
608,0205,Friedrichshain Ost,10.9,2011,94.8,87.0,4.1,5.8
609,0301,Buch,12.4,2011,95.7,85.8,12.6,26.1
610,0302,Nördliches Pankow,8.5,2011,95.1,91.5,8.0,13.3
611,0303,Nördliches Weißensee,7.1,2011,96.4,93.1,8.9,15.8
612,0304,Südliches Pankow,6.7,2011,96.3,91.3,5.1,17.0
613,0305,Südliches Weißensee,11.9,2011,95.4,87.9,8.6,17.7
614,0306,Nördlicher Prenzl. Berg,6.1,2011,96.6,89.0,3.6,14.5
615,0307,Südlicher Prenzl. Berg,6.3,2011,96.4,90.5,2.0,13.2
616,0401,Charlottenburg-Nord,11.9,2011,88.0,87.5,12.7,6.2
617,0402,Westend,15.3,2011,91.1,90.4,2.5,7.9
618,0403,Charlottenburg,12.8,2011,89.1,88.6,7.9,7.4
619,0404,Schmargendorf,11.6,2011,90.4,90.6,4.2,6.9
620,0405,Wilmersdorf,20.7,2011,88.6,87.7,5.5,15.8
621,0406,Forst Grunewald,0.0,2011,0.0,0.0,0.0,0.0
622,0501,SPA 1,27.4,2011,85.1,85.6,19.7,13.3
623,0502,SPA 2,23.8,2011,89.9,87.9,17.6,16.0
624,0503,SPA 3,24.4,2011,87.6,85.2,18.0,12.9
625,0504,SPA 4,15.2,2011,90.6,95.9,3.9,10.1
626,0601,Region A,15.6,2011,90.9,91.5,6.7,8.6
627,0602,Region B,10.7,2011,90.4,89.1,10.7,11.5
628,0603,Region C,9.2,2011,92.0,92.9,2.2,5.8
629,0604,Region D,5.4,2011,93.0,92.2,1.6,6.0
630,0701,Schöneberg-Nord,24.5,2011,91.3,82.2,13.0,10.5
631,0702,Schöneberg-Süd,16.9,2011,90.9,84.4,8.5,8.7
632,0703,Friedenau,15.2,2011,92.0,88.3,5.1,11.1
633,0704,Tempelhof,21.7,2011,89.3,87.1,13.3,20.0
634,0705,Mariendorf,22.8,2011,89.2,85.4,15.7,14.8
635,0706,Marienfelde,18.1,2011,81.1,90.2,17.3,22.6
636,0707,Lichtenrade,16.3,2011,87.1,87.9,10.0,14.4
637,0801,Neukölln,35.3,2011,79.1,78.5,20.5,21.7
638,0802,Britz-Buckow,28.1,2011,86.1,83.1,16.4,16.9
639,0803,Gropiusstadt,44.9,2011,82.3,83.5,14.4,21.0
640,0804,Buckow Nord / Rudow,18.6,2011,90.6,89.0,15.6,12.7
641,0901,Treptow-Köpenick 1,4.2,2011,92.7,88.7,9.9,13.5
642,0902,Treptow-Köpenick 2,6.3,2011,94.1,80.5,16.2,12.5
643,0903,Treptow-Köpenick 3,7.9,2011,93.7,91.5,12.6,6.3
644,0904,Treptow-Köpenick 4,6.8,2011,95.2,88.7,5.0,11.7
645,0905,Treptow-Köpenick 5,5.1,2011,95.8,94.8,4.3,7.5
646,1001,Marzahn,27.9,2011,86.5,83.5,29.0,26.2
647,1002,Hellersdorf,31.7,2011,85.8,86.5,24.1,27.1
648,1003,Biesdorf,6.2,2011,96.1,92.9,10.9,11.7
649,1004,Kaulsdorf / Mahlsdorf,10.9,2011,97.0,90.5,9.2,14.8
650,1101,Hohenschönhausen Nord,22.2,2011,91.0,87.0,27.9,19.2
651,1102,Hohenschönhausen Süd,19.3,2011,91.1,88.5,16.8,11.7
652,1103,Lichtenberg Nord,21.4,2011,88.2,84.9,15.2,18.7
653,1104,Lichtenberg Mitte,22.0,2011,88.6,84.6,20.5,14.4
654,1105,Lichtenberg Süd,3.2,2011,97.5,91.6,5.0,6.3
655,1210,Reinickendorf-Ost,39.9,2011,87.0,81.7,22.6,24.9
656,1221,Tegel,31.3,2011,87.3,86.1,18.2,10.5
657,1222,Heiligensee-Konradshöhe,8.0,2011,95.1,89.0,7.4,14.6
658,1223,Frohnau-Hermsdorf,6.6,2011,94.6,91.5,2.5,7.8
659,1230,Waidmannslust,32.8,2011,85.3,83.9,19.3,18.6
660,0101,Zentrum,0,2007,86.10634648370497,79.9163179916318,9.706959706959706,16.385135135135137
661,0102,Moabit,0,2007,78.57142857142857,74.34343434343434,20.502092050209207,19.467554076539106
662,0103,Gesundbrunnen,0,2007,65.58265582655827,75.52674230145867,33.70429252782194,37.32782369146005
663,0104,Wedding,0,2007,67.05729166666667,75.1219512195122,29.055007052186177,26.390685640362225
